Hẹp động mạch thận phải có tiến hành hiến thận được không ?	disease* Hẹp động mạch thận *disease phải có tiến hành procedure* hiến thận *procedure được không ?
Thưa bác sĩ , có phải tất cả người bệnh phình động mạch não đều cần thiết điều trị không ạ ?	Thưa bác sĩ , có phải tất cả người bệnh disease* phình động mạch não *disease đều cần thiết điều trị không ạ ?
Đâu là nguyên nhân trẻ có hiện tượng giật rùng mình ?	Đâu là nguyên nhân trẻ có hiện tượng disease* giật rùng mình *disease ?
Làm thế nào để điều trị đau tim , khó thở ở bệnh nhân lao phổi ?	Làm thế nào để điều trị disease* đau tim *disease , disease* khó thở *disease ở bệnh nhân disease* lao phổi *disease ?
Tay trẻ sơ sinh bị lệch cần cải thiện thế nào ?	disease* Tay trẻ sơ sinh bị lệch *disease cần cải thiện thế nào ?
Nam giới cao 182cm , nặng 82kg đã cân đối hay chưa ?	Nam giới cao 182cm , nặng 82kg đã cân đối hay chưa ?
Điều trị bướu cổ lành tính như thế nào ?	Điều trị disease* bướu cổ lành tính *disease như thế nào ?
Người mắc thoát vị đĩa đệm bị sốt rét , thỉnh thoảng đau nhói ngực và đầu có nguy hiểm không ?	Người mắc disease* thoát vị đĩa đệm *disease bị disease* sốt rét *disease , thỉnh thoảng disease* đau nhói *disease ngực và đầu có nguy hiểm không ?
Trẻ bị thoát vị thành bụng uống thuốc có khỏi không ?	Trẻ bị disease* thoát vị thành bụng *disease uống thuốc có khỏi không ?
Đường huyết lúc đói 126mg đã phải uống thuốc hạ đường huyết chưa ?	Đường huyết lúc đói 126mg đã phải uống drug* thuốc hạ đường huyết *drug chưa ?
Nôn ra máu đỏ tươi là dấu hiệu của bệnh gì ?	disease* Nôn ra máu đỏ tươi *disease là dấu hiệu của bệnh gì ?
Nên làm gì để trẻ bị giãn đài bể thận không bị suy thận ?	Nên làm gì để trẻ bị disease* giãn đài bể thận *disease không bị disease* suy thận *disease ?
Bị nang tuyến vú nên uống thuốc gì để giảm sự phát triển khối u ?	disease* Bị nang tuyến vú *disease nên uống thuốc gì để giảm sự phát triển khối u ?
Mổ lệch vách ngăn mũi có dễ bị gãy không ?	procedure* Mổ lệch vách ngăn mũi *procedure có dễ bị disease* gãy *disease không ?
Nhức vùng trán , đau đầu có phải do thiếu máu não không ?	disease* Nhức vùng trán *disease , disease* đau đầu *disease có phải do disease* thiếu máu não *disease không ?
Viêm giác mạc dị ứng điều trị thế nào ?	disease* Viêm giác mạc dị ứng *disease điều trị thế nào ?
Viêm dạ dày có làm tê chân tay , nhịp tim tăng lên không ?	disease* Viêm dạ dày *disease có làm disease* tê chân tay *disease , disease* nhịp tim tăng *disease lên không ?
Cách khắc phục tình trạng trẻ biếng ăn , chậm tăng cân	Cách khắc phục tình trạng trẻ disease* biếng ăn *disease , disease* chậm tăng cân *disease
Chóng mặt , rét , buồn nôn có phải do rối loạn tuần hoàn não không ?	disease* Chóng mặt *disease , disease* rét *disease , disease* buồn nôn *disease có phải do disease* rối loạn tuần hoàn não *disease không ?
Tư vấn giúp kết quả siêu âm gan và xét nghiệm máu	Tư vấn giúp kết quả procedure* siêu âm gan *procedure và procedure* xét nghiệm máu *procedure
Nóng đầu nhưng không sốt là bệnh gì ?	disease* Nóng đầu *disease nhưng không disease* sốt *disease là bệnh gì ?
Rối loạn kinh nguyệt do nguyên nhân gì ?	disease* Rối loạn kinh nguyệt *disease do nguyên nhân gì ?
Gây tê ngoài màng cứng có gây đau lưng sau sinh không ?	procedure* Gây tê ngoài màng cứng *procedure có gây disease* đau lưng *disease sau sinh không ?
Nặn mụn xuất hiện mủ và nóng sốt là bị làm sao ?	Nặn mụn xuất hiện mủ và disease* nóng sốt *disease là bị làm sao ?
Mắc trĩ ngoại nên đi khám hay tự chữa tại gia ?	Mắc disease* trĩ ngoại *disease nên đi procedure* khám *procedure hay tự chữa tại gia ?
Hỏi đáp : Vướng cổ họng , khô miệng là dấu hiệu bệnh gì ?	Hỏi đáp : disease* Vướng cổ họng *disease , disease* khô miệng *disease là dấu hiệu bệnh gì ?
Tiểu rắt , tiểu nhiều lần là biểu hiện của bệnh gì ?	disease* Tiểu rắt *disease , disease* tiểu nhiều lần *disease là biểu hiện của bệnh gì ?
Xuất hiện triệu chứng thở nông , khó thở là bị làm sao ?	Xuất hiện triệu chứng disease* thở nông *disease , disease* khó thở *disease là bị làm sao ?
Khắc phục tình trạng biếng ăn của trẻ sơ sinh 6 tháng tuổi thế nào ?	Khắc phục disease* tình trạng biếng ăn *disease của trẻ sơ sinh 6 tháng tuổi thế nào ?
Kết quả định lượng TSH và Acid Uric tăng , cảnh báo bệnh lý gì ?	Kết quả định lượng TSH và Acid Uric tăng , cảnh báo bệnh lý gì ?
Triệu chứng môi khô nứt nẻ và có mụn ẩn là bị bệnh gì ?	Triệu chứng disease* môi khô nứt nẻ *disease và có disease* mụn ẩn *disease là bị bệnh gì ?
Nấm kẽ chân , phải làm sao ?	disease* Nấm kẽ chân *disease , phải làm sao ?
Sau quan hệ tình dục ra dịch nhầy hôi có sao không ?	Sau quan hệ tình dục disease* ra dịch nhầy hôi *disease có sao không ?
Táo bón , khó tiêu có phải triệu chứng báo hiệu có thai ?	disease* Táo bón *disease , disease* khó tiêu *disease có phải triệu chứng báo hiệu có thai ?
Chậm kinh 2 tháng cảnh báo bệnh lý gì ?	disease* Chậm kinh *disease 2 tháng cảnh báo bệnh lý gì ?
Xẹt qua đinh rỉ sét có nguy cơ nhiễm khuẩn uốn ván không ?	Xẹt qua đinh rỉ sét có nguy cơ disease* nhiễm khuẩn uốn ván *disease không ?
Bị lợi trùm răng hàm trên , không há to được miệng phải làm sao ?	Bị disease* lợi trùm răng hàm trên *disease , disease* không há to được miệng *disease phải làm sao ?
Cần chăm sóc , nghỉ ngơi thế nào sau khi mổ mắt ?	Cần chăm sóc , nghỉ ngơi thế nào sau khi procedure* mổ mắt *procedure ?
Trẻ 1 tháng tuổi ít khóc có mắc vấn đề gì không ?	Trẻ 1 tháng tuổi disease* ít khóc *disease có mắc vấn đề gì không ?
Lưỡi xuất hiện mảng trắng hình tròn như nấm có nguy hiểm không ?	disease* Lưỡi xuất hiện mảng trắng hình tròn như nấm *disease có nguy hiểm không ?
Bệnh viêm phế quản - viêm mũi dị ứng ở trẻ có cần chạy khí dung không ?	Bệnh disease* viêm phế quản *disease - disease* viêm mũi dị ứng *disease ở trẻ có cần procedure* chạy khí dung *procedure không ?
Bố mẹ thiếu máu nhược sắc hồng cầu nhỏ : Có nên tầm soát bệnh Thalassemia cho trẻ ?	Bố mẹ disease* thiếu máu nhược sắc hồng cầu nhỏ *disease : Có nên tầm soát bệnh disease* Thalassemia *disease cho trẻ ?
Trẻ 3 tháng tuổi bị bệnh viêm gan có chữa khỏi không ?	Trẻ 3 tháng tuổi bị bệnh disease* viêm gan *disease có chữa khỏi không ?
Đau ngực có phải dấu hiệu sắp đến chu kỳ kinh nguyệt ?	disease* Đau ngực *disease có phải dấu hiệu sắp đến chu kỳ kinh nguyệt ?
Sinh mổ được 20 ngày đã ăn thịt gà và dê được chưa ?	procedure* Sinh mổ *procedure được 20 ngày đã ăn thịt gà và dê được chưa ?
Đang trong thời gian điều trị bệnh lao phổi có được sử dụng heroin không ?	Đang trong thời gian điều trị bệnh disease* lao phổi *disease có được sử dụng drug* heroin *drug không ?
Bé 1 tháng 10 ngày tuổi khó ngủ , ngủ không ngon giấc về đêm có cách nào cải thiện không ?	Bé 1 tháng 10 ngày tuổi disease* khó ngủ *disease , disease* ngủ không ngon giấc *disease về đêm có cách nào cải thiện không ?
Trẻ 21 tháng tuổi đã có thể chẩn đoán bàn chân bẹt chưa ?	Trẻ 21 tháng tuổi đã có thể chẩn đoán disease* bàn chân bẹt *disease chưa ?
Tiểu nhiều kèm nước tiểu màu trắng đục là bệnh gì ?	disease* Tiểu nhiều *disease kèm disease* nước tiểu màu trắng đục *disease là bệnh gì ?
Bé 5 tuổi thường xuyên bị táo bón , phải làm sao ?	Bé 5 tuổi thường xuyên bị disease* táo bón *disease , phải làm sao ?
Khó chịu khi đi tiểu là dấu hiệu của bệnh gì ?	disease* Khó chịu khi đi tiểu *disease là dấu hiệu của bệnh gì ?
Viêm hạch lao điều trị bao lâu thì khỏi ?	disease* Viêm hạch lao *disease điều trị bao lâu thì khỏi ?
Sưng nhức lỗ tai điều trị bao lâu mới khỏi ?	disease* Sưng nhức lỗ tai *disease điều trị bao lâu mới khỏi ?
Nổi nhiều hạch tại vùng cổ , sau gáy có nguy cơ mắc bệnh gì ?	disease* Nổi nhiều hạch tại vùng cổ , sau gáy *disease có nguy cơ mắc bệnh gì ?
Tiểu đường thai kỳ xét nghiệm và xử lý như nào ?	disease* Tiểu đường *disease thai kỳ procedure* xét nghiệm *procedure và xử lý như nào ?
Sau sảy thai bao lâu thì có kinh trở lại ?	Sau disease* sảy thai *disease bao lâu thì có kinh trở lại ?
Tắc tia sữa có thể chữa khỏi không ?	disease* Tắc tia sữa *disease có thể chữa khỏi không ?
Thai 10 tuần bị hở thành bụng có nên để lại theo dõi tiếp không ?	disease* Thai 10 tuần *disease bị disease* hở thành bụng *disease có nên để lại theo dõi tiếp không ?
Trẻ thở khò khè , quấy khóc và rụng tóc có phải dấu hiệu thiếu canxi ?	Trẻ disease* thở khò khè *disease , disease* quấy khóc *disease và disease* rụng tóc *disease có phải dấu hiệu disease* thiếu canxi *disease ?
Đau tức ngực phải , khó thở , hụt hơi dấu hiệu bệnh gì ?	disease* Đau tức ngực phải *disease , disease* khó thở *disease , disease* hụt hơi *disease dấu hiệu bệnh gì ?
Trẻ sơ sinh vàng da , vàng mắt mức độ nhẹ có đáng lo ngại ?	Trẻ sơ sinh disease* vàng da *disease , disease* vàng mắt *disease mức độ nhẹ có đáng lo ngại ?
Trẻ sơ sinh 1 tháng tuổi mỗi lần bú 40ml có ảnh hưởng đến sự phát triển của trẻ không ?	Trẻ sơ sinh 1 tháng tuổi mỗi lần bú 40ml có ảnh hưởng đến sự phát triển của trẻ không ?
Đã khám và điều trị tim đập nhanh nhưng không đỡ , phải làm sao ?	Đã khám và điều trị disease* tim đập nhanh *disease nhưng không đỡ , phải làm sao ?
Tức ngực , khó thở khi đứng lên ngồi xuống là dấu hiệu bệnh gì ?	disease* Tức ngực *disease , disease* khó thở khi đứng lên ngồi xuống *disease là dấu hiệu bệnh gì ?
Răng số 5 có được nhổ khi bị sâu không ?	disease* Răng số 5 *disease có được procedure* nhổ *procedure khi bị sâu không ?
Chứng són đái và són tiểu ở trẻ em có cần điều trị không ?	disease* Chứng són đái và són tiểu ở trẻ em *disease có cần điều trị không ?
Tại sao mất nhiều nước bọt trong một thời gian dài lại bị liệt ?	Tại sao disease* mất nhiều nước bọt *disease trong một thời gian dài lại bị disease* liệt *disease ?
Đau nhói lồng ngực cảnh báo bệnh lý gì ?	disease* Đau nhói lồng ngực *disease cảnh báo bệnh lý gì ?
Thuốc tránh thai hàng ngày Avalo màu xanh sử dụng như thế nào ?	drug* Thuốc tránh thai *drug hàng ngày drug* Avalo màu xanh *drug sử dụng như thế nào ?
Men gan cao , mẩn ngứa khắp người là do đâu ?	disease* Men gan cao *disease , disease* mẩn ngứa *disease khắp người là do đâu ?
Làm những xét nghiệm gì để biết nguyên nhân gây thiếu máu ?	Làm những procedure* xét nghiệm *procedure gì để biết nguyên nhân gây disease* thiếu máu *disease ?
Có thể mua thuốc điều trị viêm gan B ở đâu ?	Có thể mua thuốc điều trị disease* viêm gan B *disease ở đâu ?
Không ra huyết sau khi uống thuốc đình chỉ thai lần 2 có sau không ?	disease* Không ra huyết sau khi uống thuốc đình chỉ thai lần 2 *disease có sau không ?
Đêm ngủ ra nhiều mồ hôi , phải làm sao ?	disease* Đêm ngủ ra nhiều mồ hôi *disease , phải làm sao ?
Cơ thể mệt mỏi kèm hiện tượng tụt huyết áp có nguy hiểm không ?	Cơ thể disease* mệt mỏi *disease kèm hiện tượng disease* tụt huyết áp *disease có nguy hiểm không ?
Trẻ sơ sinh ngủ không sâu giấc , hay quấy khóc có phải bị thiếu vitamin D không ?	Trẻ sơ sinh disease* ngủ không sâu giấc *disease , hay disease* quấy khóc *disease có phải bị disease* thiếu vitamin D *disease không ?
Triệu chứng cảnh báo bệnh thuỷ đậu bội nhiễm	Triệu chứng cảnh báo bệnh disease* thuỷ đậu bội nhiễm *disease
Bệnh lao phổi tái phát có điều trị khỏi được không ?	Bệnh disease* lao phổi *disease tái phát có điều trị khỏi được không ?
Tổn thương da dạng phỏng nước ở trẻ là bệnh gì ?	disease* Tổn thương da dạng phỏng nước *disease ở trẻ là bệnh gì ?
Trẻ sốt , quấy khóc , sưng tại chỗ tiêm sau tiêm phế cầu mũi 3 có sao không ?	Trẻ disease* sốt *disease , disease* quấy khóc *disease , disease* sưng tại chỗ tiêm *disease sau procedure* tiêm *procedure disease* phế cầu *disease mũi 3 có sao không ?
Bố hoặc mẹ mang gen thiếu máu thalassemia , thế hệ sau có thể mắc bệnh không ?	Bố hoặc mẹ mang gen disease* thiếu máu thalassemia *disease , thế hệ sau có thể mắc bệnh không ?
Đang ngủ trẻ co người , ngồi dậy khóc kèm theo hay gồng mình là biểu hiện bệnh gì ?	disease* Đang ngủ trẻ co người , ngồi dậy khóc kèm theo hay gồng mình *disease là biểu hiện bệnh gì ?
Đang uống kháng sinh có tiêm phòng lao được không ?	Đang uống drug* kháng sinh *drug có procedure* tiêm phòng *procedure disease* lao *disease được không ?
Đau nửa bụng bên trái kéo dài có phải đau dạ dày không ?	disease* Đau nửa bụng *disease bên trái kéo dài có phải disease* đau dạ dày *disease không ?
Đau ngực khó chịu là do đâu ?	disease* Đau ngực *disease disease* khó chịu *disease là do đâu ?
Điều trị tình trạng ít sữa như thế nào và mất thời gian bao lâu ?	Điều trị tình trạng disease* ít sữa *disease như thế nào và mất thời gian bao lâu ?
Lịch tiêm vắc-xin cúm dành cho trẻ nhỏ	Lịch procedure* tiêm vắc-xin *procedure disease* cúm *disease dành cho trẻ nhỏ
Mẹ bị sốt , đau họng , ho có thể làm xét nghiệm gì để con không bị lây nhiễm ?	Mẹ bị disease* sốt *disease , disease* đau họng *disease , disease* ho *disease có thể làm procedure* xét nghiệm *procedure gì để con không bị lây nhiễm ?
Tuổi dậy thì bị ngứa vùng kín , đau rát khi tiểu , khí huyết có màu trắng vón cục có đáng lo không ?	Tuổi dậy thì bị disease* ngứa vùng kín *disease , disease* đau rát khi tiểu *disease , disease* khí huyết có màu trắng vón cục *disease có đáng lo không ?
Bị bướu basedow mà có bầu có nguy hiểm không ?	Bị disease* bướu basedow *disease mà có bầu có nguy hiểm không ?
Trẻ 5 tháng tuổi bị u máu trên đầu điều trị thế nào ?	Trẻ 5 tháng tuổi bị disease* u máu *disease trên đầu điều trị thế nào ?
Vì sao bệnh nhân tiểu đường type 2 cần phải làm kiểm tra PbA1C ?	Vì sao bệnh nhân disease* tiểu đường *disease type 2 cần phải làm procedure* kiểm tra PbA1C *procedure ?
Có khối sưng ở vú , lớp da sần là triệu chứng ung thư phải không ?	Có khối sưng ở vú , lớp da sần là triệu chứng disease* ung thư *disease phải không ?
Mang thai 16 tuần bị thuỷ đậu liệu có đáng lo ?	Mang thai 16 tuần bị disease* thuỷ đậu *disease liệu có đáng lo ?
Mắt trái liếc sang trái không được nhưng đã mổ liệu có hồi phục được không ?	disease* Mắt trái liếc sang trái không được *disease nhưng đã procedure* mổ *procedure liệu có hồi phục được không ?
Bị mất giọng phải làm sao ?	disease* Bị mất giọng *disease phải làm sao ?
Triệu chứng của dị ứng với đạm sữa bò là gì ?	Triệu chứng của disease* dị ứng *disease với đạm sữa bò là gì ?
Tự nhiên nổi hạch ở háng có làm sao không ?	Tự nhiên disease* nổi hạch *disease ở háng có làm sao không ?
Viêm họng - amidan cấp điều trị dứt thuốc lại ho có sao không ?	disease* Viêm họng - amidan cấp *disease điều trị dứt thuốc lại disease* ho *disease có sao không ?
Uống 4 viên thuốc tránh thai khẩn cấp trong 1 tháng có nguy hiểm không ?	Uống 4 viên drug* thuốc tránh thai khẩn cấp *drug trong 1 tháng có nguy hiểm không ?
Tháo vòng tránh thai bao lâu thì có thể bơm tinh trùng ?	procedure* Tháo vòng tránh thai *procedure bao lâu thì có thể procedure* bơm tinh trùng *procedure ?
Trẻ 3 tuổi thi thoảng bị cương cứng dương vật có sao không ?	Trẻ 3 tuổi thi thoảng bị disease* cương cứng dương vật *disease có sao không ?
Trẻ thở nhanh và gấp là dấu hiệu của bệnh gì ?	disease* Trẻ thở nhanh và gấp *disease là dấu hiệu của bệnh gì ?
Chỉ số định lượng CRP ở mức 40.6 có nguy hiểm gì không ?	Chỉ số định lượng CRP ở mức 40.6 có nguy hiểm gì không ?
Cách điều trị triệt để bệnh viêm khớp cùng chậu	Cách điều trị triệt để bệnh disease* viêm khớp cùng chậu *disease
Phương pháp điều trị dứt điểm bệnh viêm phổi ở trẻ nhỏ là gì ?	Phương pháp điều trị dứt điểm bệnh disease* viêm phổi *disease ở trẻ nhỏ là gì ?
Rách bao cao su khi quan hệ tình dục có mang thai không ?	procedure* Rách bao cao su *procedure khi quan hệ tình dục có disease* mang thai *disease không ?
Trẻ 2 tuổi mắc bệnh sỏi túi mật có nguy hiểm hay không ?	Trẻ 2 tuổi mắc bệnh disease* sỏi túi mật *disease có nguy hiểm hay không ?
Điều trị bệnh tâm thần phân liệt dạng hoang tưởng đã ổn , làm cách nào để ngừng thuốc nhưng vẫn ngủ được ?	Điều trị disease* bệnh tâm thần phân liệt dạng hoang tưởng *disease đã ổn , làm cách nào để ngừng thuốc nhưng vẫn ngủ được ?
Tại sao túi thai vẫn phát triển sau khi lưu thai ?	Tại sao túi thai vẫn phát triển sau khi disease* lưu thai *disease ?
Bé bị áp xe sau tiêm ngừa cần xử trí như thế nào ?	Bé bị disease* áp xe *disease sau procedure* tiêm ngừa *procedure cần xử trí như thế nào ?
Có cách nào chữa bệnh động kinh cục bộ cho trẻ 4,5 tháng tuổi hiệu quả không ?	Có cách nào chữa bệnh disease* động kinh cục bộ *disease cho trẻ 4,5 tháng tuổi hiệu quả không ?
Bị trào ngược dạ dày - thực quản nên uống thuốc gì để khỏi bệnh ?	Bị disease* trào ngược dạ dày - thực quản *disease nên uống thuốc gì để khỏi bệnh ?
Đau zona thần kinh mãn tính có thể chữa khỏi không ?	disease* Đau zona thần kinh mãn tính *disease có thể chữa khỏi không ?
Men gan tăng cao có phải dấu hiệu viêm gan B ?	disease* Men gan tăng cao *disease có phải dấu hiệu disease* viêm gan B *disease ?
Bổ sung vitamin D và canxi cho bé 2 tuổi như thế nào ?	Bổ sung drug* vitamin D *drug và canxi cho bé 2 tuổi như thế nào ?
Trẻ sơ sinh bị bong tróc da không đỡ điều trị thế nào ?	Trẻ sơ sinh bị disease* bong tróc da *disease không đỡ điều trị thế nào ?
Phụ nữ 3 tháng chậm kinh nguyệt phải làm sao ?	disease* Phụ nữ 3 tháng chậm kinh nguyệt *disease phải làm sao ?
Bị chó cắn đã hoàn thành phác đồ tiêm phòng dại nhưng vết thương còn tê và tím thì có làm sao không ?	Bị chó cắn đã hoàn thành phác đồ procedure* tiêm phòng dại *procedure nhưng vết thương còn tê và tím thì có làm sao không ?
Uống dầu cá omega-3 cùng vitamin tổng hợp hàng ngày được không ?	Uống dầu cá drug* omega-3 *drug cùng drug* vitamin *drug tổng hợp hàng ngày được không ?
Vết mổ sau phẫu thuật bao lâu lành lại ?	Vết mổ sau procedure* phẫu thuật *procedure bao lâu lành lại ?
Chỉ số xét nghiệm hormon giáp T3 giảm là bị làm sao ?	Chỉ số procedure* xét nghiệm hormon giáp T3 *procedure giảm là bị làm sao ?
Hơi thở có mùi ure cảnh báo bệnh gì ?	disease* Hơi thở có mùi ure *disease cảnh báo bệnh gì ?
Trẻ sau cắt amidan bị viêm hạch mạc treo , dãn ứ dịch các quai ruột nên điều trị thế nào ?	Trẻ sau procedure* cắt amidan *procedure bị disease* viêm hạch mạc treo *disease , disease* dãn ứ dịch các quai ruột *disease nên điều trị thế nào ?
Khi có dấu hiệu mắc bệnh ngoài da cần làm gì ?	Khi có dấu hiệu mắc disease* bệnh ngoài da *disease cần làm gì ?
Hướng điều trị tốt nhất cho người bị nhiều bệnh lý về tim	Hướng điều trị tốt nhất cho người bị nhiều disease* bệnh lý về tim *disease
Trẻ 1 tháng tuổi thường vặn mình , đỏ mặt có nên bổ sung vitamin D3 không ?	Trẻ 1 tháng tuổi thường disease* vặn mình *disease , disease* đỏ mặt *disease có nên procedure* bổ sung *procedure drug* vitamin D3 *drug không ?
Ho kéo dài không dứt điều trị như thế nào ?	disease* Ho *disease kéo dài không dứt điều trị như thế nào ?
Trễ lịch tiêm vacxin mũi nhắc lại có sao không ?	Trễ lịch procedure* tiêm vacxin mũi nhắc lại *procedure có sao không ?
Liệt nửa mặt bên phải điều trị thế nào ?	disease* Liệt nửa mặt bên phải *disease điều trị thế nào ?
Có thuốc điều trị bệnh suy thận độ 2 không ?	Có thuốc điều trị bệnh disease* suy thận độ 2 *disease không ?
Trẻ sơ sinh hay giật mình , quấy khóc có phải do tổn thương hệ thần kinh ?	Trẻ sơ sinh hay disease* giật mình *disease , disease* quấy khóc *disease có phải do disease* tổn thương hệ thần kinh *disease ?
Xét nghiệm TSH bị giảm khi dùng Levothyrox 100mg nên ngưng uống một thời gian hay uống với liều thấp ?	Xét nghiệm TSH bị giảm khi dùng drug* Levothyrox *drug 100mg nên ngưng uống một thời gian hay uống với liều thấp ?
Có cách nào giúp trẻ 1 tháng tuổi ngủ ngon , sâu giấc không ?	Có cách nào giúp trẻ 1 tháng tuổi disease* ngủ ngon , sâu giấc *disease không ?
Mắt không nhìn rõ , đồng tử bị nhoè sau phẫu thuật khâu giác mạc và Phaco 2 tháng là bị làm sao ?	disease* Mắt không nhìn rõ *disease , disease* đồng tử bị nhoè *disease sau procedure* phẫu thuật khâu giác mạc *procedure và procedure* Phaco *procedure 2 tháng là bị làm sao ?
Đau 2 đầu vú có phải biểu hiện dậy thì sớm ?	disease* Đau 2 đầu vú *disease có phải biểu hiện disease* dậy thì sớm *disease ?
Nhãn áp 47 mmHg sau 1 tuần uống thuốc Acetazolamid hạ xuống 10mmHg có bị Glocom không ?	Nhãn áp 47 mmHg sau 1 tuần uống thuốc Acetazolamid hạ xuống 10mmHg có bị disease* Glocom *disease không ?
Bé đi tiểu phải rặn liệu có bị hẹp bao quy đầu không ?	Bé disease* đi tiểu phải rặn *disease liệu có bị disease* hẹp bao quy đầu *disease không ?
Chỉ số bạch cầu bao nhiêu là bình thường ?	Chỉ số bạch cầu bao nhiêu là bình thường ?
Dùng thuốc điều trị viêm tuỷ cổ - ngực cho bé liệu não và tư duy có bị ảnh hưởng không ?	Dùng drug* thuốc điều trị viêm tuỷ cổ - ngực *drug cho bé liệu não và tư duy có bị ảnh hưởng không ?
Bị thuỷ đậu 2 ngày đã dùng thuốc nhưng không cắt sốt là do đâu ?	Bị disease* thuỷ đậu *disease 2 ngày đã dùng thuốc nhưng không cắt disease* sốt *disease là do đâu ?
Trẻ 3 tuổi xuất hiện vết đen chân răng có đáng lo ?	Trẻ 3 tuổi xuất hiện vết disease* đen chân răng *disease có đáng lo ?
Người mắc hội chứng Torrette không uống thuốc có khỏi được không ?	Người mắc disease* hội chứng Torrette *disease không uống thuốc có khỏi được không ?
Nhiễm HP dạ dày hơn 10 năm có khả năng chữa khỏi bệnh không ?	disease* Nhiễm HP dạ dày *disease hơn 10 năm có khả năng chữa khỏi bệnh không ?
Vết thương đã lành thành sẹo bị phồng nước lên liệu có sao không ?	disease* Vết thương đã lành thành sẹo bị phồng nước *disease lên liệu có sao không ?
Xét nghiệm gan Anti HBs - Positive 769.55 và Anti HCV - Negative 0.31 có bị viêm gan B không ?	Xét nghiệm gan Anti HBs - Positive 769.55 và Anti HCV - Negative 0.31 có bị disease* viêm gan B *disease không ?
Có thể triệt sản nữ trong trường hợp nào ?	Có thể procedure* triệt sản nữ *procedure trong trường hợp nào ?
Lạc nội mạc tử cung : Khi nào cần đi khám ?	disease* Lạc nội mạc tử cung *disease : Khi nào cần đi khám ?
Bị tiểu đường tuýp 2 có uống bia hàng ngày được không ?	disease* Bị tiểu đường tuýp 2 *disease có uống bia hàng ngày được không ?
Trẻ 4 tháng tuổi không ngẩng đầu lên được liệu có đáng lo ?	Trẻ 4 tháng tuổi disease* không ngẩng đầu *disease lên được liệu có đáng lo ?
Mắc viêm gan B mãn tính xuất hiện nhiệt miệng , mẩn ngứa có nguy hiểm không ?	Mắc disease* viêm gan B mãn tính *disease xuất hiện disease* nhiệt miệng *disease , disease* mẩn ngứa *disease có nguy hiểm không ?
Sờ thấy ở tinh hoàn có 1 cục hạch liệu nguy hiểm không ?	Sờ thấy ở disease* tinh hoàn có 1 cục hạch *disease liệu nguy hiểm không ?
Thoái hoá võng mạc ngoại vi có chữa được không ?	disease* Thoái hoá võng mạc ngoại vi *disease có chữa được không ?
Trễ kinh do uống thuốc tránh thai khẩn cấp có ảnh hưởng gì không ?	disease* Trễ kinh *disease do uống drug* thuốc tránh thai khẩn cấp *drug có ảnh hưởng gì không ?
Có thuốc nào điều trị bệnh sán lá gan hiệu quả không ?	Có thuốc nào điều trị disease* bệnh sán lá gan *disease hiệu quả không ?
Thi thoảng đau ngực là do đâu ?	Thi thoảng disease* đau ngực *disease là do đâu ?
Đau bụng từng cơn kèm theo tiêu chảy nên uống thuốc gì ?	disease* Đau bụng từng cơn *disease kèm theo disease* tiêu chảy *disease nên uống thuốc gì ?
Vành tai bé 8 tháng có 1 lỗ nhỏ khi nào có thể phẫu thuật được ?	disease* Vành tai bé 8 tháng có 1 lỗ nhỏ *disease khi nào có thể phẫu thuật được ?
Viêm phế quản mãn tính có chữa được không ?	disease* Viêm phế quản mãn tính *disease có chữa được không ?
Hoa mắt , chóng mặt , thỉnh thoảng bị run tay cảnh báo bệnh lý gì ?	disease* Hoa mắt *disease , disease* chóng mặt *disease , thỉnh thoảng disease* bị run tay *disease cảnh báo bệnh lý gì ?
Khi nào nên tiêm nhắc lại vắc - xin viêm gan B ?	Khi nào nên procedure* tiêm *procedure nhắc lại vắc - xin disease* viêm gan B *disease ?
Trẻ 1 tháng tuổi đi ngoài ít , phân màu xanh có sao không ?	Trẻ 1 tháng tuổi disease* đi ngoài ít *disease , disease* phân màu xanh *disease có sao không ?
Thai nhi không cử động máy trong 3 ngày có nguy hiểm không ?	disease* Thai nhi không cử động máy trong 3 ngày *disease có nguy hiểm không ?
Bé tiểu ít nhưng vẫn uống nước và bú nhiều phải làm sao ?	disease* Bé tiểu ít nhưng vẫn uống nước và bú nhiều *disease phải làm sao ?
Hỏi đáp : Đau nửa đầu bên phải là dấu hiệu của bệnh lý gì ?	Hỏi đáp : disease* Đau nửa đầu bên phải *disease là dấu hiệu của bệnh lý gì ?
Khi người bệnh đang truyền dịch mà bị tụt huyết áp thì phải làm sao ?	Khi người bệnh đang truyền dịch mà bị disease* tụt huyết áp *disease thì phải làm sao ?
Gãy xương ống tay đã điều trị khỏi nhưng bị sưng và ngả sang màu tím , do đâu ?	disease* Gãy xương ống tay *disease đã điều trị khỏi nhưng bị sưng và ngả sang màu tím , do đâu ?
Bà bầu bị đau bụng và lưng khi quan hệ có làm sao không ?	Bà bầu bị disease* đau bụng và lưng *disease khi quan hệ có làm sao không ?
Xuất hiện hạt li ti ở cổ họng cảnh báo bệnh gì ?	Xuất hiện disease* hạt li ti ở cổ họng *disease cảnh báo bệnh gì ?
Sau chấn thương mặt do tai nạn , răng bị nhức kèm đau và lung lay phải làm sao ?	Sau disease* chấn thương mặt *disease do tai nạn , disease* răng bị nhức kèm đau *disease và disease* lung lay *disease phải làm sao ?
