Hẹp động_mạch thận phải có tiến_hành hiến thận được không ?	disease* Hẹp động_mạch thận *disease phải có tiến_hành procedure* hiến thận *procedure được không ?
Trẻ đi_ngoài ra một_vài chấm máu đỏ tươi có nguy_hiểm không ?	Trẻ disease* đi_ngoài ra một_vài chấm máu đỏ tươi *disease có nguy_hiểm không ?
Uống thuốc tránh thai khẩn_cấp 3 ngày 3 viên có ảnh_hưởng gì không ?	Uống drug* thuốc tránh thai khẩn_cấp *drug 3 ngày 3 viên có ảnh_hưởng gì không ?
Cậu nhỏ sưng , đau rát kèm mùi hôi khó_chịu có nguy_hiểm không ?	disease* Cậu nhỏ sưng *disease , disease* đau rát *disease kèm mùi hôi khó_chịu có nguy_hiểm không ?
Trẻ 21 tháng tuổi xuất_hiện triệu_chứng khó thở mắc bệnh gì ?	Trẻ 21 tháng tuổi xuất_hiện triệu_chứng disease* khó thở *disease mắc bệnh gì ?
Hỏi_đáp : Trẻ 11 tháng thích làm theo ý mình , ít nói_chuyện , trêu đùa có phải biểu_hiện bệnh tự kỷ ?	Hỏi_đáp : Trẻ 11 tháng disease* thích làm theo ý mình *disease , disease* ít nói_chuyện , trêu đùa *disease có phải biểu_hiện disease* bệnh tự kỷ *disease ?
Tại_sao mắc bệnh tiểu_đường dễ bị đầy hơi , khó tiêu và tiêu_chảy ?	Tại_sao mắc bệnh tiểu_đường dễ bị disease* đầy hơi *disease , disease* khó tiêu *disease và disease* tiêu_chảy *disease ?
Đau bụng , đầy hơi khi uống trà , cafe hay bia khắc_phục thế_nào ?	disease* Đau bụng *disease , disease* đầy hơi khi uống trà *disease , cafe hay bia khắc_phục thế_nào ?
Trẻ bị viêm da kèm lở_loét nên dùng thuốc gì ?	Trẻ bị disease* viêm da *disease kèm disease* lở_loét *disease nên dùng thuốc gì ?
Van động_mạch phổi sau khi phẫu_thuật tim bẩm_sinh tứ chứng Fallot có tồn_tại vĩnh_viễn không ?	Van động_mạch phổi sau khi procedure* phẫu_thuật tim bẩm_sinh tứ chứng Fallot *procedure có tồn_tại vĩnh_viễn không ?
Đâu là thời_điểm thích_hợp để xét_nghiệm bệnh lây qua đường tình_dục chính_xác nhất ?	Đâu là thời_điểm thích_hợp để procedure* xét_nghiệm *procedure disease* bệnh lây qua đường tình_dục *disease chính_xác nhất ?
Làm cách nào để giảm_thiểu tình_trạng trẻ vặn mình nôn trớ ?	Làm cách nào để giảm_thiểu tình_trạng trẻ vặn mình disease* nôn trớ *disease ?
Đau_đầu dữ_dội sau khi ngủ dậy là dấu_hiệu bệnh gì ?	disease* Đau_đầu *disease dữ_dội sau khi ngủ dậy là dấu_hiệu bệnh gì ?
Siêu_âm tầm soát dị_tật thai_nhi	procedure* Siêu_âm *procedure tầm soát disease* dị_tật thai_nhi *disease
Thường_xuyên đau bụng_dưới kèm theo chuột_rút , táo_bón có nguy_hiểm không ?	disease* Thường_xuyên đau bụng_dưới *disease kèm theo disease* chuột_rút *disease , disease* táo_bón *disease có nguy_hiểm không ?
Sưng đau ngón chân sau khi dùng kim khâu lấy gai có phải bị uốn_ván không ?	disease* Sưng đau ngón chân sau khi dùng kim khâu lấy gai *disease có phải bị disease* uốn_ván *disease không ?
Nguyên_nhân gây ra bệnh Ung_thư tuyến_tiền_liệt là gì ạ	Nguyên_nhân gây ra bệnh disease* Ung_thư tuyến_tiền_liệt *disease là gì ạ
Mạch_máu màu đỏ trong mắt trẻ sơ_sinh có tự biến mất hay không ?	disease* Mạch_máu màu đỏ *disease trong mắt trẻ sơ_sinh có tự biến mất hay không ?
Nhói ngực sau điều_trị bệnh Whitmore do nguyên_nhân gì ?	disease* Nhói ngực *disease sau điều_trị disease* bệnh Whitmore disease* *disease *disease do nguyên_nhân gì ?
Trẻ 17 tháng ít nói và không để_ý xung_quanh nên làm gì ?	Trẻ 17 tháng disease* ít nói *disease và không để_ý xung_quanh nên làm gì ?
Cổ_họng bị vướng buồn_nôn nên điều_trị thế_nào ?	disease* Cổ_họng bị vướng buồn_nôn *disease nên điều_trị thế_nào ?
Di_chứng co_giật sau lồng ruột có_điều trị khỏi được không ?	Di_chứng disease* co_giật *disease sau disease* lồng ruột *disease có_điều trị khỏi được không ?
Trẻ 6 tháng tuổi bị viêm tiểu phế_quản không khỏi do đâu ?	Trẻ 6 tháng tuổi bị disease* viêm tiểu phế_quản *disease không khỏi do đâu ?
Giảm bớt lo_lắng trước khi phẫu_thuật gây_mê như_thế_nào ?	Giảm bớt disease* lo_lắng *disease trước khi procedure* phẫu_thuật gây_mê *procedure như_thế_nào ?
Trẻ sơ_sinh 4 tháng tuổi đi_ngoài phân nhầy , có bọt liên_tục là dấu_hiệu của bệnh gì ?	Trẻ sơ_sinh 4 tháng tuổi disease* đi_ngoài phân nhầy *disease , có disease* bọt liên_tục *disease là dấu_hiệu của bệnh gì ?
Ra máu sau khi quan_hệ tình_dục có sao không ?	disease* Ra máu *disease sau khi quan_hệ tình_dục có sao không ?
Đau_nhức đầu , chóng_mặt , sốt nhẹ và mất_ngủ do ngã từ trên cao là dấu_hiệu chấn_thương sọ não ?	disease* Đau_nhức đầu *disease , disease* chóng_mặt *disease , disease* sốt nhẹ *disease và disease* mất_ngủ *disease do ngã từ trên cao là dấu_hiệu disease* chấn_thương sọ não *disease ?
Nhiễm HP có gây giảm cân đột_ngột ?	disease* Nhiễm HP *disease có gây disease* giảm cân đột_ngột *disease ?
Bé bị viêm phế_quản , ho và sốt lâu ngày không khỏi cần điều_trị thế_nào ?	Bé bị disease* viêm phế_quản *disease , disease* ho *disease và disease* sốt *disease lâu ngày không khỏi cần điều_trị thế_nào ?
Ý_nghĩa chỉ_số CEA và CA 19-9 là gì ?	Ý_nghĩa chỉ_số CEA và CA 19-9 là gì ?
Sốt cao kèm đau bụng sau khi phẫu_thuật cắt túi_mật là do đâu ?	disease* Sốt cao *disease kèm disease* đau bụng *disease sau khi procedure* phẫu_thuật cắt túi_mật *procedure là do đâu ?
Trẻ 26 tháng tuổi ít nói có phải bị chậm nói ?	Trẻ 26 tháng tuổi disease* ít nói *disease có phải bị disease* chậm nói *disease ?
Trẻ đang điều_trị Kawasaki bị nổi ban khắp mặt và lưng có sao không ?	Trẻ đang procedure* điều_trị *procedure disease* Kawasaki *disease bị disease* nổi ban *disease khắp mặt và lưng có sao không ?
Trẻ bị viêm lưỡi tái_phát nhiều lần cần điều_trị thế_nào ?	Trẻ bị disease* viêm lưỡi *disease tái_phát nhiều lần cần điều_trị thế_nào ?
Bé gái 13 tháng tuổi mắc thoát_vị bẹn trái có cần phẫu_thuật không ?	Bé gái 13 tháng tuổi mắc disease* thoát_vị bẹn trái *disease có cần procedure* phẫu_thuật *procedure không ?
Va_đập có khiến cho tinh_hoàn bị xoắn không ?	disease* Va_đập *disease có khiến cho disease* tinh_hoàn bị xoắn *disease không ?
Viêm đại_tràng mãn_tính nguyên_nhân do đâu ạ ?	disease* Viêm đại_tràng mãn_tính *disease nguyên_nhân do đâu ạ ?
Bụi vào mắt , cộm mắt , hay chảy nước_mắt là bị làm_sao ?	disease* Bụi vào mắt *disease , disease* cộm mắt *disease , hay disease* chảy nước_mắt *disease là bị làm_sao ?
Thăm_khám tiền mê là gì ?	procedure* Thăm_khám tiền mê *procedure là gì ?
Làm cách nào để diệt rệp giường ?	Làm cách nào để diệt disease* rệp giường *disease ?
Sinh mổ lần thứ tư có nguy_hiểm không ?	procedure* Sinh mổ *procedure lần thứ tư có nguy_hiểm không ?
Nhiễm_trùng máu , hạ huyết_áp ảnh_hưởng đến mổ sỏi mật tuỵ ngược dòng ?	disease* Nhiễm_trùng máu *disease , disease* hạ huyết_áp *disease ảnh_hưởng đến mổ sỏi mật tuỵ ngược dòng ?
Hỏi_đáp : Tại_sao không được chụp cộng_hưởng từ khớp vai khi chẩn_đoán đau dây_thần_kinh liên sườn ?	Hỏi_đáp : Tại_sao không được chụp cộng_hưởng từ khớp vai khi chẩn_đoán disease* đau dây_thần_kinh liên sườn *disease ?
Ho lâu ngày vào buổi tối , có dịch đờm ngứa rát họng là dấu_hiệu bệnh gì ?	disease* Ho lâu ngày *disease vào buổi tối , có dịch đờm disease* ngứa rát họng *disease là dấu_hiệu bệnh gì ?
Hạch cổ gây sốt , ngày_càng sưng to gây mất_ngủ về đêm , khát nước khô họng có sao không ạ ?	disease* Hạch cổ gây sốt *disease , disease* ngày_càng sưng to *disease gây disease* mất_ngủ *disease về đêm , disease* khát nước *disease disease* khô họng *disease có sao không ạ ?
Điều_trị răng mọc lệch ở trẻ có ảnh_hưởng gì không ?	Điều_trị disease* răng mọc lệch *disease ở trẻ có ảnh_hưởng gì không ?
Bại não có_thể điều_trị bằng phương_pháp ghép tế_bào gốc không ?	disease* Bại não *disease có_thể điều_trị bằng phương_pháp procedure* ghép tế_bào gốc *procedure không ?
Mắc viêm gan B uống Glucosamine có ảnh_hưởng gì không ?	Mắc disease* viêm gan B *disease uống drug* Glucosamine *drug có ảnh_hưởng gì không ?
Kết_quả xét_nghiệm máu bất_thường có nguy_cơ mắc bệnh gì ?	Kết_quả procedure* xét_nghiệm máu *procedure bất_thường có nguy_cơ mắc bệnh gì ?
Tiêm vắc-xin 5 trong 1 và viêm gan B cùng lúc có được không ?	procedure* Tiêm vắc-xin 5 trong 1 *procedure và procedure* viêm gan B *procedure cùng lúc có được không ?
Bé hay nôn trớ có đờm điều_trị thế_nào ?	Bé hay disease* nôn trớ có đờm *disease điều_trị thế_nào ?
Vòng đầu trẻ sơ_sinh to hơn bình_thường có đáng lo ?	disease* Vòng đầu trẻ sơ_sinh to hơn bình_thường *disease có đáng lo ?
Quan_hệ lần đầu sau khi sinh mổ được 3 tháng xuất_tinh trong có_thai không ?	Quan_hệ lần đầu sau khi sinh mổ được 3 tháng disease* xuất_tinh trong có_thai *disease không ?
Trẻ sơ_sinh bị tưa lưỡi phải chữa thế_nào ?	Trẻ sơ_sinh bị disease* tưa lưỡi *disease phải chữa thế_nào ?
Không uống rượu , bia nhưng chỉ_số GGT tăng do đâu ?	Không uống rượu , bia nhưng chỉ_số GGT tăng do đâu ?
Trẻ 2 tuổi biếng ăn , phải làm_sao ?	Trẻ 2 tuổi disease* biếng ăn *disease , phải làm_sao ?
Mất_ngủ mãn_tính điều_trị thế_nào ?	disease* Mất_ngủ *disease mãn_tính điều_trị thế_nào ?
Bà bầu dùng thuốc Bromance , Augmentin , Mepoly trị viêm tai ngoài có ảnh_hưởng đến thai_nhi ?	Bà bầu dùng thuốc drug* Bromance *drug , drug* Augmentin *drug , drug* Mepoly *drug trị disease* viêm tai ngoài *disease có ảnh_hưởng đến thai_nhi ?
Xét_nghiệm men gan	procedure* Xét_nghiệm men gan *procedure
Trẻ sơ_sinh thiếu men G6PD , suy giáp_trạng liệu có nguy_hiểm không ?	Trẻ sơ_sinh thiếu drug* men G6PD *drug , disease* suy giáp_trạng *disease liệu có nguy_hiểm không ?
Rốn bé rỉ máu sau khi rụng có sao không ?	Rốn bé disease* rỉ máu *disease sau khi rụng có sao không ?
Đã đi khám và dùng thuốc 2 lần nhưng bé vẫn ho và sốt thì phải làm_sao ?	Đã đi khám và dùng thuốc 2 lần nhưng bé vẫn disease* ho *disease và disease* sốt *disease thì phải làm_sao ?
Xuất_hiện khối_u sau gáy kích_thước lớn , không gây đau có mổ được không ?	Xuất_hiện disease* khối_u *disease sau gáy kích_thước lớn , disease* không gây đau *disease có mổ được không ?
Khắc_phục tình_trạng hạ đường_huyết nhiều lần trong ngày thế_nào ?	Khắc_phục tình_trạng disease* hạ đường_huyết nhiều lần trong ngày *disease thế_nào ?
Mắt trái nhìn mờ là dấu_hiệu bệnh gì ?	disease* Mắt trái nhìn mờ *disease là dấu_hiệu bệnh gì ?
Trẻ nặng 4kg mỗi lần bú 60ml có bình_thường không ?	Trẻ nặng 4kg mỗi lần bú 60ml có bình_thường không ?
Cảnh_báo khi sử_dụng bơm kim tiêm không đảm_bảo vô_trùng	Cảnh_báo khi sử_dụng procedure* bơm kim tiêm *procedure không đảm_bảo vô_trùng
Khi nào có_thể đóng hậu_môn nhân_tạo sau phẫu_thuật lao màng bụng ?	Khi nào có_thể procedure* đóng hậu_môn nhân_tạo *procedure sau procedure* phẫu_thuật lao màng bụng *procedure ?
Trẻ 7 tháng chưa mọc răng , chưa biết bò là do đâu ?	Trẻ 7 tháng disease* chưa mọc răng *disease , chưa biết bò là do đâu ?
Trẻ 6 tháng nhưng cổ vẫn chưa cứng có phải bị suy_dinh_dưỡng ?	Trẻ 6 tháng nhưng disease* cổ vẫn chưa cứng *disease có phải bị disease* suy_dinh_dưỡng *disease ?
Trẻ 10 tháng tuổi nặng 7kg có phải suy_dinh_dưỡng không ?	Trẻ 10 tháng tuổi nặng 7kg có phải disease* suy_dinh_dưỡng *disease không ?
Viêm kết_mạc cấp khác và Nang nước DKM nghĩa_là gì ?	disease* Viêm kết_mạc *disease cấp khác và disease* Nang nước DKM *disease nghĩa_là gì ?
Bị nổi mẩn đỏ có mụn trắng thường_xuyên , cứ hết rồi lên là bệnh gì ?	Bị disease* nổi mẩn đỏ *disease có disease* mụn trắng *disease thường_xuyên , cứ hết rồi lên là bệnh gì ?
Ho , sổ_mũi , hắt_xì có phải là các tác_dụng phụ sau khi tiêm vaccine phòng cúm ?	disease* Ho *disease , disease* sổ_mũi *disease , disease* hắt_xì *disease có phải là các tác_dụng phụ sau khi procedure* tiêm vaccine *procedure phòng disease* cúm *disease ?
Sau sinh chưa có kinh_nguyệt quan_hệ có_thai không	disease* Sau sinh chưa có kinh_nguyệt *disease quan_hệ có_thai không
Đau bắp_chân sau khi vỡ bánh chày có bị sao không ?	disease* Đau bắp_chân *disease sau khi disease* vỡ bánh chày *disease có bị sao không ?
Ra máu kéo_dài hơn 1 tháng sau phá_thai bằng thuốc phải làm_sao ?	Ra máu kéo_dài hơn 1 tháng sau procedure* phá_thai *procedure bằng thuốc phải làm_sao ?
Bé 5 tháng rưỡi bị u_xơ cơ ức đòn chũm , nằm sấp luôn há miệng , đầu to nhô về trước và sau là bị làm_sao ?	Bé 5 tháng rưỡi bị disease* u_xơ cơ ức đòn chũm *disease , disease* nằm sấp luôn há miệng *disease , disease* đầu to nhô về trước và sau *disease là bị làm_sao ?
Đi_ngoài nhiều lần trong ngày cảnh_báo bệnh_lý gì ?	disease* Đi_ngoài nhiều lần *disease trong ngày cảnh_báo bệnh_lý gì ?
Có_thể cho bé ăn riêng chất_béo trong sữa mẹ không ?	Có_thể cho bé ăn riêng chất_béo trong sữa mẹ không ?
Quan_hệ trong ngày kinh_nguyệt có_thai không ?	Quan_hệ trong ngày kinh_nguyệt disease* có_thai *disease không ?
Bị sốt và đau tức ngực là bệnh_lý gì ?	Bị disease* sốt *disease và disease* đau tức ngực *disease là bệnh_lý gì ?
Trẻ sơ_sinh khó đi nặng , bị ọc sữa có_thể dùng men Biogaia không ?	Trẻ sơ_sinh disease* khó đi nặng *disease , bị disease* ọc sữa *disease có_thể dùng drug* men Biogaia *drug không ?
Sử_dụng cây kéo cong nong bao quy đầu dương_vật có bị tổn_thương không	Sử_dụng procedure* cây kéo cong nong bao quy đầu dương_vật có *procedure bị tổn_thương không
Khạc đờm nhiều năm dấu_hiệu cảnh_báo bệnh gì ?	disease* Khạc đờm *disease nhiều năm dấu_hiệu cảnh_báo bệnh gì ?
Trẻ trên 1 tuổi bổ_sung vitamin D dạng xịt nào phù_hợp ?	Trẻ trên 1 tuổi bổ_sung drug* vitamin D *drug dạng xịt nào phù_hợp ?
Trẻ bị sốt , đau bụng kèm nôn ói là bị làm_sao ?	Trẻ bị disease* sốt *disease , disease* đau bụng *disease kèm disease* nôn ói *disease là bị làm_sao ?
Vitamin_E có_thể uống cùng các loại vitamin khác không ?	drug* Vitamin_E *drug có_thể uống cùng các loại drug* vitamin *drug khác không ?
Nên dùng loại thuốc bổ_mắt nào cho người bị cận_thị , loạn_thị ?	Nên dùng loại thuốc drug* bổ_mắt *drug nào cho người bị disease* cận_thị *disease , disease* loạn_thị *disease ?
Trẻ bị sỏi 9mm không ứ nước nên làm gì ?	Trẻ bị disease* sỏi *disease 9mm disease* không ứ nước *disease nên làm gì ?
Trước khi thực_hiện IUI có cần khám tổng_quát không ?	Trước khi procedure* thực_hiện IUI *procedure có cần khám tổng_quát không ?
Bé bị thiếu men G6PD có tiêm được vaccine 6 trong 1 không ?	Bé bị thiếu men G6PD có procedure* tiêm *procedure được vaccine 6 trong 1 không ?
Thiếu men G6PD ở trẻ sơ_sinh có liên_quan đến bệnh tan máu bẩm_sinh không ?	Thiếu men G6PD ở trẻ sơ_sinh có liên_quan đến bệnh disease* tan máu bẩm_sinh *disease không ?
Ho , có đờm , nghẹt mũi là dấu_hiệu bệnh gì ?	disease* Ho *disease , disease* có đờm *disease , disease* nghẹt mũi *disease là dấu_hiệu bệnh gì ?
Điều_trị viêm mũi họng tái lại như_thế_nào ?	Điều_trị disease* viêm mũi họng *disease tái lại như_thế_nào ?
Có nên dùng thuốc trì_hoãn kinh_nguyệt cho trẻ dậy_thì sớm ?	Có nên dùng drug* thuốc trì_hoãn kinh_nguyệt *drug cho trẻ disease* dậy_thì sớm *disease ?
Bé đi phân mùi chua , lỏng sệt có phải có viêm ruột không ?	Bé đi disease* phân mùi chua , lỏng sệt *disease có phải có disease* viêm ruột *disease không ?
Trẻ nổi hạch ở cổ có nguy_hiểm không ?	Trẻ disease* nổi hạch ở cổ *disease có nguy_hiểm không ?
Trẻ hơn 1 tháng khó đi_đại_tiện là do đâu ?	Trẻ hơn 1 tháng disease* khó đi_đại_tiện *disease là do đâu ?
Bệnh rối_loạn lo_âu lan_toả có_thể điều_trị dứt_điểm không ?	Bệnh disease* rối_loạn lo_âu lan_toả *disease có_thể điều_trị dứt_điểm không ?
Ngậm_nước muối có chữa viêm tuỷ răng được không ?	procedure* Ngậm_nước muối *procedure có chữa disease* viêm tuỷ răng *disease được không ?
Trẻ 6 tuổi chưa biết nói , hay lấy tay đập đầu có phải bị thần_kinh không ?	Trẻ 6 tuổi disease* chưa biết nói *disease , hay disease* lấy tay đập đầu *disease có phải bị disease* thần_kinh *disease không ?
Trẻ gần 2 tháng chưa khô rốn , còn rỉ nước phải làm_sao ?	Trẻ gần 2 tháng disease* chưa khô rốn *disease , còn rỉ nước phải làm_sao ?
Mang thai tuần thứ 32 bị viêm tai ngoài sưng đỏ có_thể uống thuốc theo đơn bác_sĩ kê được không ?	Mang thai tuần thứ 32 bị disease* viêm tai ngoài *disease disease* sưng đỏ *disease có_thể uống drug* thuốc *drug theo đơn bác_sĩ kê được không ?
Tư_vấn cách tính tuổi thai theo ngày rụng trứng	Tư_vấn cách tính tuổi thai theo ngày rụng trứng
Trẻ hơn 8 tháng tuổi chậm tăng cân , phải làm_sao ?	Trẻ hơn 8 tháng tuổi disease* chậm tăng cân *disease , phải làm_sao ?
Vướng họng khi không nuốt là dấu_hiệu của bệnh_lý gì ?	disease* Vướng họng khi không nuốt *disease là dấu_hiệu của bệnh_lý gì ?
Lợm_giọng và nôn ra máu là dấu_hiệu bệnh gì ?	disease* Lợm_giọng và nôn ra máu *disease là dấu_hiệu bệnh gì ?
Tăng tiết dịch vùng kín , liệu có phải đã bị viêm do nhiễm_khuẩn ?	disease* Tăng tiết dịch vùng kín *disease , liệu có phải đã bị disease* viêm *disease do disease* nhiễm_khuẩn *disease ?
Đang cho con bú có sử_dụng thuốc tránh thai được không ?	Đang cho con bú có sử_dụng drug* thuốc tránh thai *drug được không ?
Cơ_thể có hấp_thu canxi với liều_lượng lớn được không ?	Cơ_thể có hấp_thu drug* canxi *drug với liều_lượng lớn được không ?
Nên sử_dụng kháng_sinh khi trẻ 3 tuổi bị viêm họng , giọng khàn , trong họng xuất_hiện chấm đỏ không ?	Nên sử_dụng drug* kháng_sinh *drug khi trẻ 3 tuổi bị disease* viêm họng *disease , disease* giọng khàn *disease , trong disease* họng xuất_hiện chấm đỏ *disease không ?
Điều_trị áp xe vú bao_lâu thì khỏi ?	Điều_trị disease* áp xe vú *disease bao_lâu thì khỏi ?
Gây_tê tuỷ_sống khi sinh mổ có gây đau lưng không ?	procedure* Gây_tê tuỷ_sống *procedure khi procedure* sinh mổ *procedure có gây disease* đau lưng *disease không ?
Mỏi khớp , nhấc chân lên đau ở đầu_gối sau khi tháo bó thuốc_Nam 40 ngày điều_trị ngã xe phải làm_sao ?	disease* Mỏi khớp *disease , nhấc chân lên disease* đau ở đầu_gối *disease sau khi procedure* tháo bó thuốc_Nam *procedure 40 ngày điều_trị ngã xe phải làm_sao ?
Hỏi_đáp : Phương_pháp điều_trị trẻ đi_ngoài phân_xanh , nhiều nước kèm bọt là gì ?	Hỏi_đáp : Phương_pháp điều_trị trẻ disease* đi_ngoài phân_xanh *disease , disease* nhiều nước *disease disease* kèm bọt *disease là gì ?
Thường_xuyên khó thở , hụt hơi là dấu_hiệu bệnh gì ?	Thường_xuyên disease* khó thở *disease , disease* hụt hơi *disease là dấu_hiệu bệnh gì ?
Những cơn đau tim xuất_hiện đột_ngột là dấu_hiệu bệnh gì ?	Những cơn disease* đau tim *disease xuất_hiện đột_ngột là dấu_hiệu bệnh gì ?
Điều_trị sa bàng_quang sau sinh bằng tập vật_lý trị có hiệu_quả không ?	Điều_trị disease* sa bàng_quang *disease sau sinh bằng tập vật_lý trị có hiệu_quả không ?
Trẻ 4 tháng tuổi có uống được vắc-xin Rota nữa không ?	Trẻ 4 tháng tuổi có uống được drug* vắc-xin Rota *drug nữa không ?
Nên làm gì khi bị thai lưu ở tuần thứ 7 ?	Nên làm gì khi bị disease* thai lưu *disease ở tuần thứ 7 ?
Sau khi phẫu_thuật sụn chêm và tái_tạo dây_chằng chéo trước cần hồi_phục như_thế_nào để có kết_quả tốt nhất ?	Sau khi procedure* phẫu_thuật sụn chêm *procedure và procedure* tái_tạo dây_chằng chéo trước *procedure cần hồi_phục như_thế_nào để có kết_quả tốt nhất ?
Bé 9 tuổi sưng một bên ngực , đau khi nhấn có phải dậy_thì sớm ?	Bé 9 tuổi disease* sưng một bên ngực *disease , đau khi nhấn có phải disease* dậy_thì sớm *disease ?
Trẻ 10 tuổi nặng 20kg , cao 1m26 có suy_dinh_dưỡng không ?	Trẻ 10 tuổi nặng 20kg , cao 1m26 có disease* suy_dinh_dưỡng *disease không ?
Vì sao kích_thước trứng không tăng giữa các lần siêu_âm ?	Vì sao kích_thước trứng không tăng giữa các lần procedure* siêu_âm *procedure ?
Tình_trạng hẹp động_mạch trong và ngoài sọ nguy_hiểm như_thế_nào ?	Tình_trạng disease* hẹp động_mạch trong và ngoài sọ *disease nguy_hiểm như_thế_nào ?
Cách xử_lý trẻ bị sốt cao co_giật	Cách xử_lý trẻ bị disease* sốt cao co_giật *disease
Tiêm vắc-xin 6in1 có cần tiêm thêm mũi 3in1 không ?	procedure* Tiêm vắc-xin 6in1 *procedure có cần procedure* tiêm *procedure thêm mũi 3in1 không ?
Trẻ đau bụng trên rốn , chướng bụng là do đâu ?	Trẻ disease* đau bụng trên rốn *disease , disease* chướng bụng *disease là do đâu ?
Thuốc tránh thai khẩn_cấp đạt hiệu_quả tránh thai bao_nhiêu % ?	drug* Thuốc tránh thai *drug khẩn_cấp đạt hiệu_quả tránh thai bao_nhiêu % ?
Mất khứu_giác , đôi_khi mới ngửi được là do đâu ?	disease* Mất khứu_giác *disease , đôi_khi mới ngửi được là do đâu ?
Phương_pháp tránh thai nào hiệu_quả nhất ?	Phương_pháp procedure* tránh thai *procedure nào hiệu_quả nhất ?
Bệnh tắc nhánh bờ động_mạch_vành nên dùng thuốc gì điều_trị ?	Bệnh disease* tắc nhánh bờ động_mạch_vành *disease nên dùng thuốc gì điều_trị ?
Phương_pháp điều_trị dứt_điểm mụn cóc	Phương_pháp điều_trị dứt_điểm disease* mụn cóc *disease
Bé ngủ không sâu giấc , đổ mồ_hôi trộm , rụng tóc là dấu_hiệu của bệnh_lý gì ?	Bé disease* ngủ không sâu giấc *disease , disease* đổ mồ_hôi trộm *disease , disease* rụng tóc *disease là dấu_hiệu của bệnh_lý gì ?
Chỉ_số protein trong nước_tiểu là 0.145 H có cao không ?	Chỉ_số protein trong nước_tiểu là 0.145 H có cao không ?
Thường_xuyên đau_đầu kéo_dài và âm_ỉ là triệu_chứng của bệnh gì ?	Thường_xuyên disease* đau_đầu kéo_dài và âm_ỉ *disease là triệu_chứng của bệnh gì ?
Người mệt_mỏi , chán ăn , nước_tiểu vàng , ngáp nhiều có phải dấu_hiệu nhiễm HIV ?	Người disease* mệt_mỏi *disease , disease* chán ăn *disease , disease* nước_tiểu vàng *disease , disease* ngáp nhiều *disease có phải dấu_hiệu disease* nhiễm HIV disease* *disease *disease ?
Uống thuốc tránh thai quá liều có nguy_hiểm không ?	Uống drug* thuốc tránh thai *drug quá liều có nguy_hiểm không ?
Trẻ 6 tháng 10 ngày tuổi nặng 6,8 kg có được coi là suy_dinh_dưỡng ?	disease* Trẻ 6 tháng 10 ngày tuổi nặng 6,8 kg *disease có được coi là disease* suy_dinh_dưỡng *disease ?
Trẻ bị tiêu_chảy mấy ngày thì khỏi ?	Trẻ bị disease* tiêu_chảy *disease mấy ngày thì khỏi ?
Thuốc bào_tử đa kháng_sinh Bacillus uống trước hay sau bữa ăn ?	drug* Thuốc bào_tử đa kháng_sinh Bacillus *drug uống trước hay sau bữa ăn ?
Chóng_mặt , nôn_nao có phải biểu_hiện bị tiền_đình không ?	disease* Chóng_mặt *disease , disease* nôn_nao *disease có phải biểu_hiện bị disease* tiền_đình *disease không ?
Viêm gan B có lây qua tuyến nước_bọt và quan_hệ tình_dục không ?	disease* Viêm gan B *disease có lây qua tuyến nước_bọt và quan_hệ tình_dục không ?
Trẻ nhỏ mắc bệnh não úng_thuỷ cần điều_trị như_thế_nào ?	Trẻ nhỏ mắc bệnh disease* não úng_thuỷ *disease cần điều_trị như_thế_nào ?
Thường ra máu hồng khi mang thai có sao không ?	Thường disease* ra máu hồng *disease khi disease* mang thai *disease có sao không ?
Chảy_máu mũi khi bị viêm xoang có phải dấu_hiệu bệnh trở nặng ?	disease* Chảy_máu mũi *disease khi bị disease* viêm xoang *disease có phải dấu_hiệu bệnh trở nặng ?
Có_thể phẫu_thuật tăng kích_thước vòng đầu cho trẻ bại não không ?	Có_thể procedure* phẫu_thuật tăng kích_thước vòng đầu *procedure cho trẻ disease* bại não *disease không ?
Trẻ bị bệnh não trơn lissencephaly có_điều trị được không ?	Trẻ bị bệnh disease* não trơn lissencephaly *disease có_điều trị được không ?
Trẻ 5 tháng tuổi chảy nước_mũi , ho là biểu_hiện của bệnh_lý gì ?	Trẻ 5 tháng tuổi chảy disease* nước_mũi *disease , disease* ho *disease là biểu_hiện của bệnh_lý gì ?
Teo tinh_hoàn sau quai_bị	disease* Teo tinh_hoàn *disease sau disease* quai_bị *disease
Bệnh tràn dịch màng phổi	Bệnh disease* tràn dịch màng phổi *disease
Có được uống thuốc hỗ_trợ tiền_mãn_kinh khi bị u lành_tính tuyến_giáp không ?	Có được uống thuốc hỗ_trợ disease* tiền_mãn_kinh *disease khi bị disease* u lành_tính tuyến_giáp *disease không ?
Tay bị trầy_xước do ngã xe , dùng nước muối sinh_lý để sát_khuẩn ?	disease* Tay bị trầy_xước *disease do ngã xe , dùng nước muối sinh_lý để sát_khuẩn ?
Trẻ đau quặn bụng có nên uống thuốc_tẩy giun không ?	Trẻ disease* đau quặn bụng *disease có nên uống drug* thuốc_tẩy giun *drug không ?
Xét_nghiệm nào để phát_hiện sớm trẻ bị tay_chân miệng ?	procedure* Xét_nghiệm *procedure nào để phát_hiện sớm trẻ bị disease* tay_chân miệng *disease ?
